checkin_date,checkout_date,hotel_price,time_detected,ISP_IP
2025-09-30,2025-10-01,NA,2025-09-30 15:16:17,183.82.7.33
2025-09-30,2025-10-01,6300,2025-09-30 15:16:18,183.82.7.33
2025-09-30,2025-10-01,7000,2025-09-30 15:16:18,183.82.7.33
